grup,estudiant,nota
2,XXXX XXXX,3.51
2,XXXX XXXX,9.2
1,XXXX XXXX,4.37
2,XXXX XXXX,9.47
1,XXXX XXXX,3.13
1,XXXX XXXX,6.67
1,XXXX XXXX,0
1,XXXX XXXX,9.67
1,XXXX XXXX,0
2,XXXX XXXX,7.54
1,XXXX XXXX,7.73
2,XXXX XXXX,6.78
2,XXXX XXXX,5.52
2,XXXX XXXX,4.89
2,XXXX XXXX,9.12
2,XXXX XXXX,7.45
2,XXXX XXXX,7.2
1,XXXX XXXX,0
1,XXXX XXXX,6.86
2,XXXX XXXX,9.43
2,XXXX XXXX,4.05
2,XXXX XXXX,9.47
1,XXXX XXXX,8.86
2,XXXX XXXX,7.12
2,XXXX XXXX,7.79
1,XXXX XXXX,0
1,XXXX XXXX,7.67
1,XXXX XXXX,3
1,XXXX XXXX,0
2,XXXX XXXX,8.64
1,XXXX XXXX,9.73
1,XXXX XXXX,NA
1,XXXX XXXX,0
1,XXXX XXXX,6.51
2,XXXX XXXX,2.68
1,XXXX XXXX,0
2,XXXX XXXX,7.09
2,XXXX XXXX,5.35
2,XXXX XXXX,4.01
1,XXXX XXXX,9.2
1,XXXX XXXX,3.59
2,XXXX XXXX,6.09
1,XXXX XXXX,3.4
1,XXXX XXXX,10
1,XXXX XXXX,2.45
1,XXXX XXXX,4.61
2,XXXX XXXX,0
1,XXXX XXXX,2
2,XXXX XXXX,7.78
2,XXXX XXXX,4.62
2,XXXX XXXX,0
2,XXXX XXXX,4.05
2,XXXX XXXX,2.37
2,XXXX XXXX,6.39
1,XXXX XXXX,3.51
2,XXXX XXXX,3.67
1,XXXX XXXX,8.29
1,XXXX XXXX,8.67
1,XXXX XXXX,9.16
1,XXXX XXXX,0
2,XXXX XXXX,2.87
1,XXXX XXXX,0
1,XXXX XXXX,7.93
2,XXXX XXXX,3.59
2,XXXX XXXX,9.2
1,XXXX XXXX,0
2,XXXX XXXX,4.09
1,XXXX XXXX,5.09
1,XXXX XXXX,9.09
1,XXXX XXXX,9.16
2,XXXX XXXX,9.35
2,XXXX XXXX,3.59
1,XXXX XXXX,0
2,XXXX XXXX,8.93
2,XXXX XXXX,8.86
1,XXXX XXXX,6.13
2,XXXX XXXX,9.09
1,XXXX XXXX,0
1,XXXX XXXX,8.13
1,XXXX XXXX,9.16
2,XXXX XXXX,5.82
2,XXXX XXXX,3.48
2,XXXX XXXX,7.11
1,XXXX XXXX,5.6
2,XXXX XXXX,6.4
1,XXXX XXXX,6.55
1,XXXX XXXX,7.16
1,XXXX XXXX,9.43
1,XXXX XXXX,7.65
1,XXXX XXXX,0
2,XXXX XXXX,2.37
1,XXXX XXXX,2.98
1,XXXX XXXX,0
2,XXXX XXXX,7.75
2,XXXX XXXX,6.07
1,XXXX XXXX,3.1
2,XXXX XXXX,9.66
2,XXXX XXXX,4.94
1,XXXX XXXX,9.56
1,XXXX XXXX,0
2,XXXX XXXX,3.36
2,XXXX XXXX,9.12
1,XXXX XXXX,3.06
1,XXXX XXXX,0
2,XXXX XXXX,2.68
2,XXXX XXXX,3.82
2,XXXX XXXX,6.7
2,XXXX XXXX,8.9
1,XXXX XXXX,0
1,XXXX XXXX,7.58
1,XXXX XXXX,2.41
2,XXXX XXXX,3.03
2,XXXX XXXX,5.48
1,XXXX XXXX,3
2,XXXX XXXX,0
1,XXXX XXXX,8.35
2,XXXX XXXX,8.9
1,XXXX XXXX,2.54
1,XXXX XXXX,4.39
2,XXXX XXXX,7.92
1,XXXX XXXX,7.2
1,XXXX XXXX,0
1,XXXX XXXX,4.21
1,XXXX XXXX,9.35
2,XXXX XXXX,9.16
1,XXXX XXXX,3.63
2,XXXX XXXX,9.66
2,XXXX XXXX,2.9
1,XXXX XXXX,3.36
1,XXXX XXXX,8.93
2,XXXX XXXX,3.78
2,XXXX XXXX,4.05
1,XXXX XXXX,9.73
1,XXXX XXXX,6.32
1,XXXX XXXX,9
1,XXXX XXXX,4.52
2,XXXX XXXX,8.32
1,XXXX XXXX,0
1,XXXX XXXX,3.13
2,XXXX XXXX,4.12
2,XXXX XXXX,2.38
1,XXXX XXXX,6.45
1,XXXX XXXX,6.32
2,XXXX XXXX,8.13
1,XXXX XXXX,4.96
2,XXXX XXXX,5.64
2,XXXX XXXX,9.56
2,XXXX XXXX,7.73
2,XXXX XXXX,7.71
2,XXXX XXXX,8.02
2,XXXX XXXX,8.74
1,XXXX XXXX,8.39
1,XXXX XXXX,7.2
2,XXXX XXXX,7.7
1,XXXX XXXX,9.47
2,XXXX XXXX,0
2,XXXX XXXX,8.32
2,XXXX XXXX,4.47
1,XXXX XXXX,3.03
1,XXXX XXXX,0
1,XXXX XXXX,8.86
1,XXXX XXXX,9.16
2,XXXX XXXX,9.73
1,XXXX XXXX,9.56
2,XXXX XXXX,3.06
2,XXXX XXXX,7.05
1,XXXX XXXX,10
1,XXXX XXXX,4.85
1,XXXX XXXX,6.13
1,XXXX XXXX,2.41
1,XXXX XXXX,4.47
2,XXXX XXXX,9.62
1,XXXX XXXX,9.2
1,XXXX XXXX,0
2,XXXX XXXX,10
2,XXXX XXXX,7.95
2,XXXX XXXX,0
1,XXXX XXXX,4.43
1,XXXX XXXX,8.82
1,XXXX XXXX,7.59
1,XXXX XXXX,7.25
2,XXXX XXXX,9.7
2,XXXX XXXX,5.72
1,XXXX XXXX,3.67
1,XXXX XXXX,0
2,XXXX XXXX,2.71
1,XXXX XXXX,8.25
2,XXXX XXXX,2.1
1,XXXX XXXX,7.68
